child_id,target,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15
ID_0I0999N6S,59.98224003414826,<BIAS>,child_observe_total,teacher_emotional_total,child_observe_diligent,pri_fees_amount_pv,child_observe_attentive,count_toilets_children,latitude,id_mn_n,child_zha,prov_best,id_prov,id_mn_best,count_register_year_2020,child_age
ID_GQ6ONJ4FP,46.32949610498218,<BIAS>,child_observe_total,teacher_emotional_total,pri_fees_amount_pv,child_observe_diligent,id_facility,child_observe_attentive,id_mn_n,longitude,child_zha,latitude,pri_year,id_prov_n,id_mn_best,child_age
ID_YZ76CVRW3,49.25640300660011,<BIAS>,id_enumerator,longitude,id_mn_best,id_dc_n,child_observe_diligent,child_observe_total,mn_best,pri_fees_amount_pv,child_observe_attentive,child_zha,child_dateday,pri_year,child_age,teacher_emotional_total
ID_BNINCRXH8,67.45400689134036,<BIAS>,child_observe_total,id_enumerator,child_observe_diligent,id_mn_best,longitude,prov_best,child_height,child_zha,mn_best,child_observe_attentive,child_observe_concentrated,pri_capacity,teacher_emotional_total,id_facility
ID_1U7GDTLRI,45.337845328365034,<BIAS>,child_observe_total,id_mn_best,child_observe_diligent,child_observe_attentive,id_facility,id_ward,id_prov,pri_time_close_hours,language_child,teacher_social_peers,latitude,id_enumerator,teacher_emotional_total,child_age
ID_HUPM6GALH,64.65551521659748,<BIAS>,child_age,id_facility,ward_best,child_observe_total,id_enumerator,child_height,child_zha,child_observe_diligent,child_dateweek,id_facility_n,child_observe_attentive,teacher_social_total,child_observe_concentrated,teacher_emotional_total
ID_RLC7D66D6,45.6084969772037,<BIAS>,child_observe_total,child_height,child_observe_diligent,child_zha,child_observe_attentive,teacher_emotional_understand,pri_fees_amount_pv,teacher_emotional_total,latitude,id_team,child_enrolment_dateday,mn_best,id_mn_best,child_age
ID_3IDOXBRX5,47.29861856618826,<BIAS>,child_observe_total,teacher_emotional_total,child_zha,child_observe_diligent,child_observe_attentive,id_ward_n,count_register_year_2016,latitude,id_enumerator,pri_fees_amount_pv,longitude,mn_best,id_mn_best,child_age
ID_5HF27TNFX,49.484879545735396,<BIAS>,mn_best,id_enumerator,child_observe_total,longitude,child_zha,child_observe_attentive,child_observe_diligent,teacher_social_total,latitude,pri_fees_amount_pv,pri_fees_amount,id_mn_best,teacher_emotional_total,child_age
ID_C9RZNXMYF,50.8630692923781,<BIAS>,teacher_emotional_total,child_observe_total,child_observe_diligent,child_age,mn_best,longitude,opening_hours,latitude,obs_water,pra_education,count_children_present,child_zha,id_mn_best,id_enumerator
