child_id,target,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15
ID_0I0999N6S,61.788433311994815,<BIAS>,child_observe_total,teacher_emotional_total,id_mn_best,child_observe_diligent,child_observe_attentive,mn_best,child_observe_interested,child_zha,count_toilets_children,teacher_social_assistance,count_register_year_2020,prov_best,child_height,child_age
ID_GQ6ONJ4FP,46.71225132085036,<BIAS>,child_observe_total,teacher_emotional_total,child_observe_diligent,child_observe_attentive,mn_best,pri_fees_amount_pv,pra_agency_questions,dc_best,child_enrolment_datedayofweek,latitude,longitude,id_mn_n,id_mn_best,child_age
ID_YZ76CVRW3,49.10078951471138,<BIAS>,mn_best,id_enumerator,id_mn_best,child_observe_diligent,longitude,child_observe_total,latitude,child_dobyear,id_team,id_facility,child_age,pri_fees_amount_4_6,teacher_emotional_total,child_zha
ID_BNINCRXH8,72.55513638018367,<BIAS>,child_observe_total,id_enumerator,longitude,child_observe_diligent,child_zha,mn_best,id_ward_n,obs_area_3,latitude,id_mn_best,child_dateweek,child_observe_attentive,count_register_gender_female,child_observe_concentrated
ID_1U7GDTLRI,44.91418860758259,<BIAS>,latitude,child_observe_total,id_mn_best,mn_best,child_observe_diligent,child_observe_attentive,id_ward,child_dobday,id_team,child_dobyear,teacher_selfcare_total,teacher_emotional_total,id_enumerator,child_age
ID_HUPM6GALH,65.7654538775083,<BIAS>,child_age,ses_proxy,child_observe_total,id_facility,child_zha,ward_best,child_observe_diligent,id_enumerator,id_facility_n,facility_type,id_ward,id_mn_best,child_observe_interested,teacher_emotional_total
ID_RLC7D66D6,43.9943490240783,<BIAS>,child_observe_total,child_observe_diligent,delta_monthobs_datechild_dob,child_height,child_observe_attentive,obs_area_6,count_children_present,teacher_selfcare_total,pri_fees_amount_pv,teacher_emotional_total,id_team,id_mn_best,child_age,mn_best
ID_3IDOXBRX5,44.84859873104336,<BIAS>,child_observe_total,teacher_emotional_total,child_observe_attentive,child_zha,child_observe_diligent,child_height,teacher_selfcare_total,latitude,pri_fees_amount_pv,longitude,id_mn_best,id_enumerator,mn_best,child_age
ID_5HF27TNFX,48.602987039023134,<BIAS>,id_enumerator,id_mn_best,child_observe_total,mn_best,child_observe_diligent,child_zha,longitude,teacher_selfcare_total,child_observe_attentive,child_dobyear,child_dobday,pri_fees_amount_pv,teacher_emotional_total,child_age
ID_C9RZNXMYF,48.820834037011565,<BIAS>,teacher_emotional_total,child_observe_total,child_observe_diligent,longitude,child_dateweek,teacher_emotional_met,child_dobweek,obs_water,id_team,child_height,child_zha,id_enumerator,id_mn_best,mn_best
ID_63GVO6496,54.286864825061436,<BIAS>,child_observe_total,id_enumerator,mn_best,id_facility,id_mn_best,child_observe_attentive,child_observe_diligent,child_dobyear,teacher_selfcare_total,latitude,teacher_social_peers,child_height,teacher_emotional_total,child_age
ID_MQDKXQO9R,34.65124972050532,<BIAS>,child_months_enrolment,pri_expense_admin,teacher_emotional_understand,child_zha,teacher_social_peers,id_facility,child_enrolment_datedayofweek,child_observe_diligent,id_enumerator,child_observe_attentive,teacher_social_assistance,child_age,id_mn_best,child_observe_total
ID_8NHEV4JYV,22.177329237742526,<BIAS>,teacher_emotional_understand,child_enrolment_datedayofweek,child_observe_concentrated,language_child,mn_best,child_zha,pri_time_open_minutes,longitude,id_team,id_mn_best,child_observe_attentive,child_observe_diligent,child_age,child_observe_total
ID_49Q0B09ZE,43.95729619602667,<BIAS>,child_observe_total,child_age,child_observe_diligent,id_facility,facility_type,child_observe_attentive,ward_best,id_ward,ses_proxy,teacher_emotional_understand,id_mn_best,teacher_social_peers,teacher_emotional_total,id_enumerator
ID_OFDARJRN8,32.72914847177855,<BIAS>,child_height,teacher_social_total,language_assessment,id_ward,teacher_emotional_total,child_observe_diligent,prov_best,longitude,child_observe_attentive,id_mn_best,pri_name_network_forum,id_enumerator,child_observe_total,child_age
ID_SUUJWQCUK,61.5571292817468,<BIAS>,child_age,child_observe_total,pri_fees_amount_pv,ses_proxy,id_enumerator,child_observe_attentive,pri_fees_amount,id_ward,child_observe_diligent,child_zha,facility_type,child_dobday,pri_fees_amount_4_6,teacher_emotional_total
ID_LSRZPR784,53.7157831933738,<BIAS>,teacher_emotional_total,child_dateweek,mn_best,id_facility,child_observe_total,id_enumerator,child_observe_diligent,id_mn_best,id_mn_n,child_observe_attentive,count_register_year_2017,child_dobday,child_height,child_age
ID_W0L3EEXNX,40.595418435327446,<BIAS>,teacher_emotional_total,child_observe_total,child_observe_attentive,child_observe_diligent,id_enumerator,ses_proxy,pri_education,child_height,pri_fees_amount_pv,id_mn_best,latitude,id_dc_best,mn_best,child_age
ID_O5WURWYLF,39.16057304186091,<BIAS>,id_enumerator,child_height,child_zha,teacher_social_total,teacher_emotional_total,teacher_selfcare_total,language_assessment,child_dateweek,child_observe_diligent,id_team,id_mn_best,child_observe_attentive,child_age,child_observe_total
ID_EQAZQ4SZ7,66.52606188287767,<BIAS>,child_observe_total,child_age,child_zha,child_observe_diligent,child_observe_attentive,child_observe_interested,teacher_social_total,child_dobday,id_mn_best,teacher_selfcare_total,id_facility,child_dobweek,ses_proxy,teacher_emotional_total
ID_UXL36DZL7,56.79922866759488,<BIAS>,teacher_emotional_total,child_observe_total,mn_best,child_dobweek,id_mn_best,child_zha,child_observe_diligent,pqa_score_teaching,count_staff_all,obs_area_3,child_dobyear,child_dobday,child_observe_interested,teacher_selfcare_total
ID_WCDXTO0HT,28.97467831316961,<BIAS>,id_mn_best,child_height,teacher_social_total,id_mn_n,teacher_selfcare_total,pri_facilities,language_assessment,count_toilets_children,teacher_social_assistance,child_observe_attentive,child_age,child_observe_diligent,teacher_emotional_total,child_observe_total
ID_B6TIIEIQJ,44.92754368056001,<BIAS>,child_observe_total,child_observe_diligent,child_observe_attentive,child_dateday,latitude,count_register_year_2016,ses_proxy,teacher_social_assistance,pri_amount_funding_dsd,teacher_emotional_total,child_zha,id_mn_best,mn_best,id_enumerator
ID_7UZ66G4L8,56.56206404564747,<BIAS>,teacher_emotional_total,id_enumerator,mn_best,child_observe_total,child_observe_diligent,id_mn_best,child_age,longitude,child_dobyear,dc_best,quintile,child_height,id_facility,ses_proxy
ID_WYP2V4JWK,42.80525028374273,<BIAS>,teacher_emotional_total,child_observe_total,child_height,child_observe_diligent,count_children_present,ses_proxy,child_enrolment_datedayofweek,dc_best,pri_fees_amount_pv,pri_name_network_forum,id_mn_best,mn_best,child_age,id_enumerator
