iter	RMSE
0	14.89717668
50	10.33737678
100	9.537317003
150	9.110798578
200	8.745385061
250	8.413871869
300	8.121935568
350	7.902541008
400	7.741330288
450	7.569244795
500	7.382104664
550	7.219663917
600	7.033228933
650	6.850255438
700	6.683306778
750	6.523187438
800	6.382744185
850	6.232211605
900	6.082101314
950	5.942554373
1000	5.823586622
1050	5.699523719
1100	5.573890131
1150	5.465974112
1200	5.335989547
1250	5.239146239
1300	5.138548384
1350	5.044148106
1400	4.950756726
1450	4.849319845
1500	4.763067568
1550	4.661370024
1600	4.575377285
1650	4.494182899
1700	4.402171725
1750	4.326609745
1800	4.249881179
1850	4.175346467
1900	4.11181194
1950	4.047022026
2000	3.974304611
2050	3.895226164
2100	3.828493091
2150	3.765396502
2200	3.705042063
2250	3.643735956
2300	3.576857541
2350	3.512377554
2400	3.451153205
2450	3.388840913
2500	3.323856293
2550	3.269933678
2600	3.218021545
2650	3.163806044
2700	3.100108863
2750	3.056642679
2800	3.004758523
2850	2.95703228
2900	2.90969497
2950	2.864745871
3000	2.816521955
3050	2.779596735
3100	2.73263656
3150	2.685384862
3200	2.635632565
3250	2.590140822
3300	2.549667047
3350	2.507353639
3400	2.470849377
3450	2.427842174
3500	2.389275697
3550	2.348837358
3600	2.313757435
3650	2.278934222
3700	2.23984697
3750	2.200198711
3800	2.164549589
3850	2.135350611
3900	2.10114007
3950	2.065553497
4000	2.032878949
4050	2.003526116
4100	1.973350721
4150	1.94656721
4200	1.919404093
4250	1.887949974
4300	1.863771787
4350	1.835374564
4400	1.810508049
4450	1.786807327
4500	1.761132365
4550	1.739211524
4600	1.718886695
4650	1.696819633
4700	1.670949242
4750	1.648939032
4800	1.626741995
4850	1.605722492
4900	1.587664494
4950	1.567212901
4999	1.549264028
